,input
499,"As a researcher, I want to import metadata that I captured with a metadata tool, so that I do not have to capture it again in a DMP.
"
500,"As a user, I want to scope my searches for collections, objects, or object components to a specific language. 
"
501,"As a Publisher, I want to have private data packages, so that I can share just with my team.
"
502,"As a summit coordinator, I want to list an agenda for my summit, so that I can entice attendees and give positive feedback to presenters to encourage participation.
"
503,"As a Researcher, I want to get my Excel spreadsheet into a Data Package, so that I can benefit from better tooling and standardization.	
"
504,"As a summit coordinator, I want to see a list of attendees signed up for my summit, so that I can communicate with my attendees by email prior to the event.
"
505,"As a visitor, I want to download presentations, PDFs, etc. on Scrum, so that I can learn from them or use them.
"
506,"As a CONNECT developer, I want to participate in the Direct Virtual Connect-A-Thon so that I can test the Direct feature with other Direct instances and understand scalable trust, trust bundles	
"
507,"As a user, I want to be able to browse by collections in the DAMS. 
"
508,"As a Repository Manager, I want a tool that makes it easy for researchers/ users to add basic metadata to their research data, so that it is more findable and therefore useful.	
"
509,"As a Federal Partner, I want documentation regarding CONNECT configuration, so that I can manage CONNECT's performance.	
"
510,"As an Applicant, I want to Request a Plan Review Meeting, so that I can meet with the Plan Review Staff regarding the plan review.
"
511,"As a trainer, I want to read information of relevance only to trainers, so that the Scrum Alliance can share information with me easily.	
"
512,"As a CONNECT developer, I need to create a template for individual test results report, so that I can populate said template to track each of my performance tests.	
"
513,"As a library staff member, I want to use content and metadata from the repository in other systems and/or web pages easily, so that I can deliver such content in the manner best fit to the audience or occasion.
"
514,"As a user, I want to know the rights status of an object. 
"
515,"As an archivist, I want to search within a repository for resource and accession and digital object records.
"
516,"As a team member, I want to determine a design direction for the beta social page, so that we can implement a beta site quickly without established brand guidelines.
"
517,"As a site member, I want to view the profiles of other members, so that I can find others I might want to connect with.	
"
518,"As a library staff member, I want to quickly correct errors in uploaded metadata, and even uploaded documents, while leaving a record of my revisions (and possibly the reasons behind them), so that I can present correct versions of content and to locate points of error.
"
519,"As a camp administrator, I want to be able to see all my camp groups and the events scheduled for each camp group, so that I can notify counselor of what their group will be doing for the day.
"
520,"As a developer, I want an DSpace integration, so that I can integrate data-packaged data with pipelines that use Dspace.	
"
521,"As a camp administrator, I want to be able to set a reminders related to specific tasks that has to be done.
"
522,"As a Developer I want to quickly access Broker application data, so that I can investigate issues.	
"
523,"As a user, I want to take a picture or upload an image, so that I am recommended with videos related to that picture or image.	
"
524,"As a CONNECT developer, I want the option to build CONNECT without any dependencies on Direct so that non-Direct builds cannot hang or fail on Direct unit tests.	
"
525,"As a CONNECT system administrator, I want to have the ability to view and update gateway configuration files, via a simple GUI interface, so that it is easier for me to manage my gateway instance	
"
526,"As an archivist, I want to manage scans of archival material created for educational visits, so that find and refer to them for another visit.
"
527,"As a repository support team member, I want to alias (or map) an item from one collection to another (so the item will appear to belong to both collections), because the collection owner has asked them to.
"
528,"As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant.
"
529,"As a CONNECT adopter, I want CONNECT 4.6 to be published/released, so that the community and federal agencies can avail of the enhancements and bug fixes in this release	
"
530,"As a CONNECT developer, I want to consolidate caching of configuration files into one subsystem to simplify code and help code maintainenance	
"
531,"As a Developer, I want to do exploratory data analysis in R and operationalize that analysis in Python, so that I can use the best tool for the job.
"
532,"As a CSM, I want to have my name listed in the registry without becoming a member of the site, so that employers or others can verify my certification.	
"
533,"As a authenticateduser, I want to view the job board, so that I can look for an interesting Drupal gig!.
"
534,"As an NSF member of the team, I want to have a place where I can access all the related reports and documentation, so that I can refer to it easily now and in the future.
"
535,"As a agency user, I want to map the FederalActionObligation properly to the Atom Feed.
"
536,"As a moderator, I want to delete my account, so that account information and games are no longer stored.
"
537,"As a federal partner, I want to be able to install CONNECT 3.3 and be able to communicate with another gateway with CONNECT 3.2.1 install in order to be able to exchange information with out everyone having to upgrade.	
"
538,"As an Applicant, I want to Submit Application, so that I can provide my information, plans and/or documents to initiate a transaction with the County.
"
539,"As a ReadOnly user , I want to view archival descriptions in my repository.
"
540,"As a trainer, I want to be notified about the results of surveys about my classes, so that I can read them.
"
541,"As a ResearcherGovernment Publisher, I want to add general reference data to my narrow dataset, so that my dataset is more useful. 
"
542,"As an OlderPerson, I want to have ALFRED to detect falls and send an emergency to a specific contact. 
"
543,"As a developer, I want to have an easy way to read data from health sensors the user is wearing. 
"
544,"As an OlderPerson, I want to have an ALFRED device that can be easily adapted for user that have hearing trouble. 
"
545,"As a site visitor, I want to see a list of all upcoming Events, so that I can decide if I want to attend any.
"
546,"As a FABS user, I want the frontend URLs to more accurately reflect the page I'm accessing, so that I'm not confused.
"
547,"As an Inspection Supervisor, I want to Manage Inspector Workload, so that I can meet service level and quality requirements.
"
548,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.
"
549,"As a camp administrator, I want to be able to keep my information in one place, so that the admins next year can improve on the previous years.
"
550,"As a user, I want to have files I might accidentally delete to be restorable.
"
551,"As an admin, I want to be able to have a dashboard that shows usage stats and locations, so that I can identify the neighbourhoods with the largest number of drop-offs and to try getting more facilities involved.	
"
552,"As a data manager, I want to clarify the necessary rights for re-using the data, so that it is legal to reuse the data.
"
553,"As a Zooniverse admin, I want to know when I should educate a volunteer.	
"
554,"As a researcher,  I want to have the ability to restrict the data I share to certain researchers or groups of researchers.
"
555,"As a repository manager, I want to track who is financially responsible for each item in the repository, who should probably be a person contact including name, phone, email, maybe title and address.
"
556,"As a anonymoususer, I want to have a link on the home page to a list of training options, so that I can take training.
"
557,"As a repository manager, I want to indicate for an object or object component the place of publication, the publisher, edition, etc., when pertinent. 
"
558,"As a Platform Administrator, I want to be able to Hide any dataset already added as Public, So that I can maintain Public/Hidden status for other users.
"
559,"As a repository manager, I want to have metadata in additional languages, so that I can allow for multilingual data archive.
"
560,"As an owner, I want to view all the people in my organization and what roles they have, so that that I can change these if I want.
"
561,"As a user, I want to have access to the content files for an object. 
"
562,"As a participant, I want to be shown all estimates at the same time after all estimators have given their estimate, so that I can be sure estimates are independent and not influenced by other estimates given in the same draw.
"
563,"As a site visitor, I want to be able to read some of your articles, so that I can learn without first joining the site.
"
564,"As a user, I want to assign bespoke information to a file dependent on its type.
"
565,"As a repository manager, I want to indicate names related to an object. 
"
566,"As a DB/IR administrator, I want to search for administrator accounts using full/partial email or name.
"
567,"As an Admin, I want to set key configuration parameters for my site deployment, so that that I can change key information like the site title.
"
568,"As a parent, I want to be able to see a schedule of the activities my children are involved in at camp, so that I can be more informed as to what they are doing at camp.
"
569,"As a repository manager, I want to know any changes occurring to titles for repository's collections, objects, and object components. 
"
570,"As an Applicant, I want to Check the Status of a transaction, so that I can understand where the provisioning of my service is in the process, such as information related to service levels, fees, plan review, permit, or inspection results.
"
571,"As a stakeholder, I want to know when the data management plan was created or updated, so that I know how up-to-date the plan is or whether it needs to be updated.
"
572,"As an OlderPerson, I want to have ALFRED to help to motivate me during the week to do exercise that should change daily, as the constant change motivates me. 
"
573,"As a Zoning Staff member, I want to Issue the Zoning-Related Permits, so that I can satisfy an Applicant's request for service that has proven to be eligible and in compliance with the Zoning Ordinance.
"
574,"As an asset manager, I want to be assured that the digital copy I deposit is stored redundantly, so that when one copy suffers destruction or unwanted changes, I still have other good copies to restore from.
"
575,"As a site visitor, I want to know as I glance around the home page what on earth a CSM is and why I'd want to be one, so that I read more.
"
576,"As an Applicant, I want to Satisfy Hearing Requirements, so that I can ensure all pre-hearing requirements are satisfied in time for the hearing.
"
577,"As a Developer, I want to get a Data Package into Clojure in seconds, so that I can start using the data in doing analysis and visualizations. 
"
578,"As a Customer, I want to Create a Customer Portal User Account, so that I can log on to the Customer Portal and perform transactions that first require user authentication.	
"
579,"As a library staff member, I want to upload large batches of items simultaneously, including descriptive metadata, so that I can offer service to authors efficiently.
"
580,"As a researcher,  I want to have the ability to interact with a revision control system so that I can keep track of changes to files over time.
"
581,"As a CONNECT adopter, I need to log my transactions(server and audit logs) asynchronously as opposed to synchronously to help improve performance.	
"
582,"As a CONNECT adopter, I want CONNECT to be tested with the MU2 test cases for Direct related transports to enable my CONNECT implementation to be certified for MU2/ONC 2014 certification	
"
583,"As a parent, I want to be able to connect with the staff in case of an emergency.
"
584,"As a trainer, I want to see the upcoming courses are what I want visitors to notice, so that they register and there's a benefit to my membership.	
"
585,"As a CONNECT user I need CONNECT to integrate with and support the DIRECT Project specifications	
"
586,"As a user researcher, I want to have the finalized OLPA task script, so that I can begin testing with internal users.
"
587,"As a Publisher, I want to store my data quickly and easily online. 
"
588,"As a Researcher, working with data in NetCDF, I want NetCDF integration, so that I can store my data in plaintext while still retaining its metadata. 
"
589,"As a Data Publishing User, I want to know what my data needs to be able to be visualised on a map, So that I can visualise it on a map.	
"
590,"As a lab administrator, I want to create page templates with bespoke metadata fields.
"
591,"As a user, I want to contact the administrators, so that I can give feedback or ask for help.
"
592,"As a anonymoususer, I want to see a list of the sessions associated with sponsor attendees, so that I know where I can engage with this sponsor and where they are thought leaders.
"
593,"As a CONNECT developer, I can build core libraries and services independently from each other	
"
594,"As a Staff member, I want to Schedule a Meeting, so that I can bring the required parties together at a specific date/time to address an issue.	
"
595,"As a DigitalRecords Archivist, I want to have a method to add and remove multiple people to deposit groups in specific collections, to set a date that the deposit window closes, and to have these permissions conferred on these depositors should pick up on the collection's default permission.
"
596,"As a Developer, I want to do exploratory data analysis in R and operationalize that analysis in Python, so that I can use the best tool for the job."
597,"As a site member, I want to scroll through a listing of jobs, so that I can see if there any I am interested in.
"
598,"As an IT manager, I want to know about IT resource requirements early in the project lifecycle, so that I can enable resource acquisition planning.
"
599,"As a Zoning Staff member, I want to Issue the Zoning-Related Permits, so that I can satisfy an Applicant's request for service that has proven to be eligible and in compliance with the Zoning Ordinance.	
"
600,"As a researcher,  I want to have the ability to store all the inputs for an experiment so that the provenance of the results can be verified.
"
601,"As an IT staff member, I want to know how the data is used, so that I can determine what kind of basic services and functionalities are required.
"
602,"As a trainee, I want to limit to one registration per day per authenticated user, so that we don't have duplicate spaces.
"
603,"As a researcher, I want to see the sections on responsibilities submitted by other researchers in my department, so that I can see if we could share data manager posts.
"
604,"As a CONNECT implementer I need CONNECT to run on additional platforms such as WebLogic and WebSphere to run on a more robust platform and comply with architectural requirements of my environment (User Story: EST005A)	
"
605,"As an Agency user, I want the header information box to show updated date AND time, so that I know when it was updated.	
"
606,"As a participant, I want to be able to change my estimate up until the last person selects a card and all are shown, so that I can change my mind based on information I hear.
"
607,"As a Staff member, I want to Capture a Hearing Decision, so that I can enforce the system.
"
608,"As an Archivist, I want to create and edit Event records.
"
609,"As a DAMS manager, I want to know, via preservation managers, of any object for which integrity or authenticity is in question or that has been updated to a more current file format. 
"
610,"As a CONNECT Adopter, I want to know that upgrading CONNECT won't break my current ability to exchange information and my working adapters in order to lower the hurdles to upgrading (User Story: U0005 & CLONE of GW441)	
"
611,"As a Staff member, I want to Manage Approved Proffers, so that I can ensure compliance with and satisfaction of the proffer in the future.	
"
612,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.	
"
613,"As a CONNECT developer I want to deploy Connect with maven cargo on WebLogic app server to simplify configuration and deployment	
"
614,"As a donor representative, I want to supply incremental accruals to new and existing collections, so that material can be transferred on an ongoing basis.
"
615,"As an archivist, I want to know if a photo has already been scanned, so that I can license it to a researcher.
"
616,"As a repository manager, I want to indicate the language(s) for present in a collection, object, or object component. 
"
617,"As a CONNECT user, I want the administrative GUI functionality to include role based access so that I restrict access of administrative functions by user role	
"
618,"As a Developer , I want my domain models to be indexed properly, so that I can get validation results back in a reasonable amount of time.	
"
619,"As an agency user, I want to know when the submission periods start and end, so that I know when the submission starts and ends.	
"
620,"As an admin, I want to see, validate and edit segmentation of videos.	
"
621,"As a site editor, I want to have a prominent area on the home page where I can put special announcements not necessarily news or articles, so that I can give them additional exposure.
"
622,"As a researcher, I want to contact the author of a work that interests me, so that I can learn more about my research.
"
623,"As a VisualDesigner, I want to create a moodboard to aid with visual design concepts for the nsf.gov website, so that we can discuss different design concepts with stakeholders.
"
624,"As a camp administrator, I want to be able to keep camper records from previous years, so that the amount of work I need to do is lowered. 
"
625,"As a Staff member, I want to create each condo unit, so that I can associate it to the child parcel and address after the condominiums are recorded in the system.	
"
626,"As a MedicalCaregiver, I want to have ALFRED to be able to determine the user's body temperature. 
"
627,"As a researcher, I want to indicate within my electronic log book which experimental data is good/bad, hide the bad data, but still keep it in the system just in case it is useful in the future.
"
628,"As a library staff member, I want to make digital items held in trusted external system searchable within our system, so that I can provide seamless access to disparate collections.
"
629,"As an OlderPerson, I want to have the ALFRED shirt has to be non stigmatizing. 
"
630,"As a CONNECT Adopter, I want to process and send large payload sizes of up to 1 GB to meet the requirements of all my use cases (User Story: EST010 & CLONE of GW473)	
"
631,"As a Public User, I want to Search for Information, so that I can obtain publicly available information concerning properties, County services, processes and other general information.
"
632,"As a corporatesponsor, I want to make my logo randomly appear on the home page, so that others see the company's support of Scrum.	
"
633,"As an OlderPerson, I want to have a very good battery for ALFRED so I can keep him on the whole day.
"
634,"As a data user, I want to access two additional fields from the FPDS data pull.	
"
635,"As a User, I want to be able to set my own username, So that my data is more easily discoverable.
"
636,"As a user, I want to update the properties of a dataset instance and I expect this to fail if the new properties are not compatible with a meaningful error message.
"
637,"As a data reuser, I want to examine and identify deposited files, so that I can make a preliminary assessment of usefulness without downloading the whole dataset.
"
638,"As a broker user, I want the historical FABS loader to derive fields, so that my agency codes are correct in the PublishedAwardFinancialAssistance table.	
"
639,"As a moderator, I want to change my account details, so that I can keep my account details up-to-date.
"
640,"As a Custodial Agent, I Need to Remove Legacy Code for Large Out-of-Ban File Transfers (LiFT) So That I Can Better Maintain the Code Base and Security Requirements	
"
641,"As a CSM, I want to be sent an email welcoming me to the Scrum Alliance and with instructions to register or activate my membership once my name has been loaded to the registry.	
"
642,"As an OlderPerson, I want to have the wearables with integrated sensors to look good and not to be stigmatizing. 
"
643,"As a Data Publishing User, I want to be able to edit the data source of data I have already imported, So that I can fix bugs or make enhancements in the API built for my data.	
"
644,"As a camp worker, I'm able to report a list of supplies to the manager that the camp is short of.
"
645,"As a patron, I want to download report/dataset release calendar to load into own calendar.
"
646,"As an admin, I want to handle all users' activities, so that I can manage more efficiently.	
"
647,"As an owner, I want to be sure that USAspending only send grant records to my system.
"
648,"As a user, I want to sync events created in NeuroHub with a web-based Calendar such as Google Calendar.
"
649,"As a user, I want to access the raw agency published files from FABS via USAspending.	
"
650,"As a CONNECT developer, I want to include the security plugin for findbugs, to help identify security vulnerabilities in CONNECT.	
"
651,"As a content editor, I want to be able to easily find content, so that I can edit it.
"
652,"As a Developer , I want to develop a custom importer.
"
653,"As a CONNECT user, I need bugs related to HIEM Subscribe transaction to be fixed and successfully validated to ensure/validate that HIEM service works in Rel 4.0.	
"
654,"As a moderator, I want to invite estimators by giving them a URL where they can access the game, so that we can start the game.
"
655,"As a Publisher, I want to be able to overwrite the previously tagged datapackage, so that that I can fix it if I mess up.
"
656,"As an OlderPerson, I want to use ALFRED to manage my agenda. 
"
657,"As a collection curator, I want users to contact me directly from the repository to request access to restricted objects.
"
658,"As a user, I want to be able to create an account, so that I can create my own profile.	
"
659,"As a product owner/adopter, I want Release 4.2 to be install tested so that the installation is successfully validated in supported environments	
"
660,"As a CONNECT Adopter I need CONNECT to provide support for both Online Certificate Status Profile (OCSP) and Certificate Revocation List (CRL) with validation.	
"
661,"As a CONNECT adopter, I want to be able to enable and disable services by organization on the fly	
"
662,"As a developer, I want an DSpace integration, so that I can integrate data-packaged data with pipelines that use Dspace. 
"
663,"As a site member, I want to search for profiles based on a few fields, so that I can find others I might want to connect with.
"
664,"As an archivist, I want to batch edit metadata about files.
"
665,"As a CONNECT adopter, I want CONNECT to include a Keep-Alive option to bypass proxy server timeout issues	
"
666,"As a patron, I want to know other reports/datasets that are related (e.g. see also) to report/dataset being viewed for the purpose finding other related information.
"
667,"As a CONNECT adopter sending Direct messages, I want to receive a notification when positive or negative delivery notification message is received by the gateway from the Responding STA, so that I am informed of a successful or failed delivery	
"
668,"As an archive, I want to get information about the volume of data to preserve at an early stage, so that I can provide the adequate storage infrastructure.
"
669,"As a CONNECT adopter supporting Deferred PD services, I need the MessageID for the fan-out requests to be unique so that the service is spec compliant	
"
670,"As a Federal Partner, I want documentation regarding tunable performance parameters, so that I can manage CONNECT's performance.	
"
671,"As a Custodial Agent we need to strengthen and expand CONNECT's security testing harness	
"
672,"As a CONNECT developer, I want to be able to query event logs, to display information for message tracking.	
"
673,"As a user, I want to generate and validate D Files from FABS and FPDS data.
"
674,"As a faculty member, I want to go to my repository dashboard to manage members of my classes, grant submit permissions by pasting in a list of NetIDs, see confirmation that DDR recognizes the NetIDs, ability to manually remove permissions, ability to set begin and end dates for a submission window, and a have a status screen to clearly illustrate who has and hasn't submitted.
"
675,"As a depositor, I want to mint DOIs for my data, so that it can be discovered and cited more easily and citations can be tracked so that I can receive credit.
"
676,"As an OlderPerson, I want to receive visual support, especially when looking at a list, map or agenda.
"
677,"As an OlderPerson, I want to have ALFRED on a bracelet or a necklace, so that I can always wear him with me. 
"
678,"As an agency user, I want to be confident that the data coming from SAM is complete.
"
679,"As a library staff member, I want to be able to add custom metadata fields for deposits I make on behalf of researchers to allow for better search capabilities.
"
680,"As a site editor, I want to set the following dates on a news item: Start Publishing Date, Old News Date, Stop Publishing Date, so that articles are published on and through appropriate dates.	
"
681,"As a CONNECT adopter, I want to know the service version of the inbound QD request, so that I can determine how to validate/process the request and generate the appropriate response.	
"
682,"As a Developer, I want the data loaded from historical FABS to include the FREC derivations, so that I can have consistent FREC data for USASpending.gov.	
"
683,"As a Staff member, I want to Manage Bonds, so that I can track and manage bonds throughout the lifecycle of the project until release.	
"
684,"AS an externalcoordinator, I want to access data from Bath collaborators off campus, so that I can collaborate effectively.
"
685,"As a CONNECT user, I need the lightweight gateway capability to be applied for HIEM service so fewer endpoints need to be stood up for the service, memory footprint is reduced and HIEM is consistent with other services.	
"
686,"As a research participant, I want to make sure that the appearance of the prototype does not distract from the workflow, so that I can complete the user interview.
"
687,"As a researcher, I want to have physiology images to be annotated with standard meta data, so that my data can later be searched for and understood.
"
688,"As an employee from the HR department, I want to have access to the full information of all employees working for this business.	
"
689,"As a user, I want to have the details of the workflow execution to be recorded in a neurohub log book while executing a workflow.
"
690,"As a developer, I want to have my App to be granted access to several operating system features. 
"
691,"As a user, I want to have a spreadsheet hosted within the Neurohub Web page, so that I can edit and calculate costs collaboratively with others while working on the proposal.
"
692,"As a superuser, I want to reply to user questions, so that I can answer any questions about my recycling center.
"
693,"As a teachingfacultymember, I want to identify timely and relevant research suitable for use in my curriculum, and be notified of new research/content.
"
694,"As a user, I want to upload tagged videos and have tags available for all further processing steps.	
"
695,"As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.
"
696,"As an executive, I want to have full access to data related to my company, so that I can have a sense of my company's performance.
"
697,"As an OlderPerson, I want to be able to call someone with ALFRED. 
"
698,"As a Development Staff member, I want to Issue a Development-related Permit, so that I can grant the request to the Applicant to begin work	
"
699,"As an Applicant, I want to Request PreApplication Assistance, so that I can receive a response to a request for a meeting or information that is a result of the preapplication assistance.	
"
700,"As a Consumer, I want to browse and find publishers, so that that I can find interesting publishers and their packages.
"
701,"As an Inspector, I want to Conduct Inspections, so that I can validate Customer compliance with code and regulations and provide results of the inspection to the Customer.	
"
702,"As an agency user, I want the maximum length allowed for LegalEntityAddressLine3 to match Schema v1.1.	
"
703,"As a site visitor, I want to read a new article on the front page about once a week, so that I am up on all the latest happenings.
"
704,"As a systems administrator, I want to be able to control the location of the demo database and I want it to be backed up.
"
705,"As an OlderPerson, I want to use ALFRED to contact people from my own circle. 
"
706,"As a legalofficer, I want to know about data sensitivity, so that I can establish sharing options.
"
707,"As a CONNECT adopter certifying for Meaningful Use Stage 2, I want CONNECT 4.x to pass validation using the NIST tool so that my implementation can be validated for MU	
"
708,"As an institutional data manager, I want to know about the privacy and security requirements of the data, so that I can plan the right storage system and sharing permissions.
"
709,"As a Publisher, I want to undelete the deleted data packages, so that that the deleted data packages is now visible again.
"
710,"As a user, I want to see the properties that were used to configure a dataset instance.
"
711,"As a agency user, I want to map the FederalActionObligation properly to the Atom Feed.	
"
712,"As a repoadmin, I want to expose repository contents via OAI-PMH.
"
713,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.
"
714,"As a user, I want to revert to an older version of an uploaded file.
"
715,"As a CONNECT adopter, I would like to be able to configure my Webservice timeouts by transaction to allow for greater flexibility managing my transaction/response time across my trading partners	
"
716,"As an agency user, I want a landing page to navigate to either FABS or DABS pages, so that I can access both sides of the site.	
"
717,"As a researcher, I want to locate photographs and documents that I can share on social media.
"
718,"As a book sending Direct messages, I want to receive a failure notification when the message I initiated was not sent to the Receiving STA so that I am informed of a failed delivery	
"
719,"As an app developer, I want to ensure that when I deploy an artifact without creating an app this will not create any dataset types or instances.
"
720,"As a library staff member, I want to preserve both the content and the metadata within the repository in a robust manner, so that I can provide stable, long-term access to this material.
"
721,"As a DB/IR administrator, I want to unpublish a report/dataset if requested to do so by USDA agency.
"
722,"As a Planning Staff member, I want to Generate Planning-related Reports, so that I can access, analyze and/or export the needed information in the format I requested.	
"
723,"As a site visitor, I want to know as soon as I visit what on earth Scrum is and why it needs an alliance, so that I don't bounce immediately o? the page.
"
724,"As a attendee, I want to be added to a training waitlist, so that so they can be considered for a class.
"
725,"As a Customer, I want to Create a Customer Portal User Account, so that I can log on to the Customer Portal and perform transactions that first require user authentication.
"
726,"As a Consumer, I want to know that the data I am downloading is good and can be relied on, so that that I don't have to check it myself or run into annoying bugs later on.
"
727,"As a sponsor, I want to link BADCamp attendees to my sponsorship page, so that I can show off our level of attendance.
"
728,"As an Agency user, I want FPDS data to be up-to-date daily.	
"
729,"As an archivemanager, I want to reuse the information regarding file format, so that I can apply automated checks for the file validation.
"
730,"As a anonymoususer, I want to learn about sponsorship levels, so that I can determine the right level of sponsorship for my organization.
"
731,"As a repository manager, I want to know any event that occurred to a content file for any of my repository's objects. 
"
732,"As an OlderPerson, I want to be able to see my training Performance. 
"
733,"As an organization who requires access to patient prescription histories, I would like the CONNECT PDMP module to be completed so I can access state PDMP data	
"
734,"As a Staff member, I want to Manage Bonds, so that I can track and manage bonds throughout the lifecycle of the project until release.
"
735,"As an OlderPerson, I want to use ALFRED to contact help in case of an emergency. 
"
736,"As a repository manager, I want to know, where pertinent, the hardware and software used to generate a content file. 
"
737,"As a data curator, I want to have a mechanism to allow for records scheduling for items that do not need to be stored indefinitely.
"
738,"As an asset manager, I want to be assured that there is a formal plan for the disposition of assets if the IR should cease.
"
739,"As a MedicalCaregiver, I want to control if the user does the exercise correct. 
"
740,"As a publisher, I want to embed a preview button on my site, so that users can preview the data and be encouraged that this is the correct data for them.
"
741,"As an archivist, I want to restrict access to certain files by user, so that I can allow donor representatives to see certain files.
"
742,"As an OlderPerson, I want to have an ALFRED device that only listens to me when I ask it to. 
"
743,"As a Plan Review Staff member, I want to Track the Completion of Required Plan Reviews, so that I can ensure all plan review tasks are completed, results have been sent to the Applicant and any downstream steps are initiated such has a final review or payment for permit issuance.	
"
744,"As a CONNECT developer, I want a set of JMX utility classes, so that I can quickly update CONNECT configurations.	
"
745,"As a user researcher, I want to make sure the correct NSF people are invited to user interviews, so that they can observe the interviews and make recommendations accordingly.
"
746,"As a research facility manager, I want to deposit data from my facility directly into the archive on behalf of researchers, so that I am no longer required to maintain my own archive of facility data and researchers can access their own data as needed. 
"
747,"As a DAMS manager, I want to know the outcome of the event, e.g., object NN was deleted. 
"
748,"As a Developer, I want an SPSS integration, so that I can integrate data-packaged data with pipelines that use SPSS. 
"
749,"As a administrator, I want to create blog posts, so that I can share the latest information about BADCamp with the public.
"
750,"As a federal partner, I want to determine the state of a transaction across messages in order to better troubleshoot and analyze the operation of CONNECT (User Story: EST009 & CLONE of GW499)	
"
751,"As a depositor, I want to allow my collaborators privileged access to datasets, so that we continue to have a productive relationship.
"
752,"As a CONNECT developer, I want to run the regression suite via maven, so that I can run the whole regression suite at one time.	
"
753,"As a library staff member, I want to include supplementary files such as datasets, slideshows, etc. â€“ with DOIs for each, as needed â€“ when uploading a given work, so that I can provide a robust image of the work in question.
"
754,"As an OlderPerson, I want to use ALFRED to watch movies. 
"
755,"As a UI designer, I want to begin user testing, so that I can validate stakeholder UI improvement requests.
"
756,"As a Data user, I want to have the 12-19-2017 deletions processed.	
"
757,"As a publisher, I want to embed an interactive preview of my data on my site, so that users can be encouraged that this is the correct data for them. 
"
758,"As a developer, I want to have written a site which is compliant with XHTML and CSS standards, so that as many people as possible can access the site and view it as intended.
"
759,"As a user, I want to specify schema as a SQL schema string.
"
760,"As an Owner, I want to reset the environment to only take Staging MAX permissions, so that I can ensure that the FABS testers no longer have access.
"
761,"As a FABS user, I want additional helpful info in the submission dashboard, so that I can better manage submissions and IG requests.	
"
762,"As an archivist, I want to have electronic versions of the collection files available for staff use, so that I increase accessibility and I do not lose the original files.
"
763,"As a Researcher, I want to get a Data Package into R in seconds, so that I can start using the data for doing analysis and visualizations. 
"
764,"As a repoadmin, I want to have the license be recorded in metadata and displayed alongside the item.
"
765,"As a user, I want more information about how many rows will be published prior to deciding whether to publish.
"
766,"As a CONNECT adopter, I want CONNECT to use MySQL 5.6, in order to have better performance and sub second granularity in timestamps.	
"
767,"As a MedicalCaregiver, I want to have ALFRED to propose training that promotes complex thinking. 
"
768,"As a library staff member, I want to create a collection, sometimes with custom metadata fields, so that I can house digital material for wider distribution.
"
769,"As a tester, I want to ensure that FABS is deriving fields properly through a robust test file plus a follow up check.
"
770,"As a publisher, I want to embed an interactive preview of my data on my site, so that users can be encouraged that this is the correct data for them.	
"
771,"As a researcher, I want to search using structured data, so that I can find everything relevant to my inquiry across collections.
"
772,"As a trainer, I want to create a new course or event, so that site visitors can see it."
773,"As a FABS user, I want additional helpful info in the submission dashboard, so that I can better manage submissions and IG requests.
"
774,"As a Publisher, I want to know if this site has a pricing plan and what the prices are, so that that I can work out what this will cost me in the future and have a sense that these guys are sustainable. 
"
775,"As a data reuser, I want to search the archive through the web, so that I can easily find data relevant to my needs.
"
776,"As a site member, I want to fill out an application to become a Certified Scrum Practitioner, so that I can earn that designation.
"
777,"As a user, I want to be able to enter my zip code and get a list of nearby recycling facilities, so that I can determine which ones I should consider.	
"
778,"As a FABS user, I want to see correct status labels on the Submission Dashboard, so that I can quickly see my submission history.	
"
779,"As a site member, I want to have full access to all articles, so that there is a benefit to being a member.	
"
780,"As a plugin developer, I want to include the code for a dataset type in the plugin artifact, so that when a pipeline using this plugin is created a dataset instance of that type is created and it is explorable and available to apps.
"
781,"As a authenticateduser, I want to Enter payment information and have my card charged for an individual sponsorship, so that I can pay for an individual sponsorship.
"
782,"As a Data Publishing User, I want to have my dataset update automatically as the source file/files changes, So that OpenSpending always shows current data.
"
783,"As a faculty data steward, I want to see the sections on costing, so that I can ensure sufficient expertise on data management to support the project.
"
784,"As an Archivist, I want to add Notes to other record types.
"
785,"As a Developer, I want an SPSS integration, so that I can integrate data-packaged data with pipelines that use SPSS.	
"
786,"As a user, I want to be able to enter my zip code and get a list of nearby recycling facilities, so that I can determine which ones I should consider.
"
787,"As an OlderPerson, I want to have an ALFRED device that repeats the last phrase. 
"
788,"As a Development Staff member, I want to Issue a Development-related Permit, so that I can grant the request to the Applicant to begin work
"
789,"As a user, I want to upload my week's schedule, so that I can get recommendations for recycling centers that best fit my availability.
"
790,"As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations.	
"
791,"As an API User, I want to have a flexible API using HASC codes for countries, regions and cities, So that I can visualise budget data on maps.
"
